severity,familyId,chassisId,prefabName,shipLevel,wings,engines,thrusters,propulsion,weapons,moveSpeed,dps,energyCap,energyRegen,gemCap,peopleCap,flags,fixClass
0.75,CosmicShark,CosmicShark_07,CosmicShark_Lander,4,2,1,1,2,1,10.283,46.8,29.943,2.29,136.305,14.994,energy_insolvency,needs_extra_engine_or_thruster_stats
0.75,CosmicShark,CosmicShark_17,CosmicShark_Bruiser,4,2,1,1,2,1,9.555,46.8,29.506,2.137,138.595,15.245,energy_insolvency,needs_extra_engine_or_thruster_stats
0.75,CosmicShark,CosmicShark_01,CosmicShark_Mouse,3,2,1,0,1,1,7.392,43.2,24.629,1.06,88.059,9.687,energy_insolvency,needs_extra_engine_or_thruster_stats
0.75,CosmicShark,CosmicShark_03,CosmicShark_Goldie,3,2,1,1,2,1,8.064,43.2,22.556,0.335,107.681,11.845,energy_insolvency,needs_extra_engine_or_thruster_stats
0.75,AstroEagle,AstroEagle_16,AstroEagle_Spider,6,1,1,1,2,1,7.275,486,88.583,2.654,347.829,38.261,energy_insolvency,needs_extra_engine_or_thruster_stats
0.75,AstroEagle,AstroEagle_17,AstroEagle_Thumper,6,1,1,1,2,1,9,216,62.341,2.919,240.489,26.454,energy_insolvency,needs_extra_engine_or_thruster_stats
0.75,AstroEagle,AstroEagle_09,AstroEagle_Feather,5,2,1,1,2,1,8.148,50.4,32.288,2.481,335.847,36.943,energy_insolvency,needs_extra_engine_or_thruster_stats
0.75,AstroEagle,AstroEagle_05,AstroEagle_Stringray,4,1,1,1,2,1,10.283,46.8,30.629,2.53,300.461,33.051,energy_insolvency,needs_extra_engine_or_thruster_stats
0.75,AstroEagle,AstroEagle_06,AstroEagle_Turtle,3,1,1,1,2,1,10.848,43.2,28.401,2.38,167.869,18.466,energy_insolvency,needs_extra_engine_or_thruster_stats
0.75,AstroEagle,AstroEagle_02,AstroEagle_Bat,3,1,1,1,2,1,7.392,43.2,29.066,2.613,151.643,16.681,energy_insolvency,needs_extra_engine_or_thruster_stats
0.75,StriderOx,StriderOx_12,StriderOx3,5,1,1,1,2,1,7.644,50.4,32.13,2.426,100.8,11.088,energy_insolvency,needs_extra_engine_or_thruster_stats
0.75,StriderOx,StriderOx_13,StriderOx8,4,1,1,1,2,1,8.281,46.8,30.706,2.557,62.723,6.899,energy_insolvency,needs_extra_engine_or_thruster_stats
0.75,CosmicShark,CosmicShark_14,CosmicShark_Falcon,5,2,2,1,3,1,10.668,44.1,31.231,2.111,161.112,17.722,energy_insolvency,needs_extra_engine_or_thruster_stats
0.75,AstroEagle,AstroEagle_18,AstroEagle_Pancakes,6,1,2,1,3,1,10.575,216,62.614,3.015,497.632,54.74,energy_insolvency,needs_extra_engine_or_thruster_stats
0.75,CosmicShark,CosmicShark_19,CosmicShark_Scout,6,2,2,1,3,1,9.525,502.224,90.255,3.239,342.833,37.712,energy_insolvency,needs_extra_engine_or_thruster_stats
0.75,ProtonLegacy,ProtonLegacy_16,ProtonLegacy1,6,2,1,0,1,1,5.775,505.96,92.339,3.969,86.879,9.557,energy_insolvency,needs_extra_engine_or_thruster_stats
0.75,CosmicShark,CosmicShark_13,CosmicShark_Zam,6,2,2,1,3,1,9.525,216,61.759,2.716,313.839,34.522,energy_insolvency,needs_extra_engine_or_thruster_stats
0.75,MeteorMantis,MeteorMantis_18,MeteorMantis3,5,1,1,0,1,1,7.056,119.557,52.92,5.292,131.982,14.518,energy_insolvency,needs_extra_engine_or_thruster_stats
0.75,CosmicShark,CosmicShark_20,CosmicShark_Duet,6,2,2,1,3,1,11.625,230.634,63.19,3.216,327.234,35.996,energy_insolvency,needs_extra_engine_or_thruster_stats
0.75,ProtonLegacy,ProtonLegacy_02,ProtonLegacy13,2,2,1,0,1,1,6.93,9.9,13.412,1.229,54.592,6.005,energy_insolvency,needs_extra_engine_or_thruster_stats
0.75,ProtonLegacy,ProtonLegacy_10,ProtonLegacy5,4,2,1,0,1,1,7.007,46.8,31.029,2.67,74.297,8.173,energy_insolvency,needs_extra_engine_or_thruster_stats
0.75,StriderOx,StriderOx_16,StriderOx4,6,1,1,1,2,1,6.3,216,60.085,2.13,73.563,8.092,energy_insolvency,needs_extra_engine_or_thruster_stats
0.75,CosmicShark,CosmicShark_16,CosmicShark_Tubby,6,1,1,0,1,1,6.75,486,87.067,2.124,142.046,15.625,energy_insolvency,needs_extra_engine_or_thruster_stats
0.75,StriderOx,StriderOx_14,StriderOx7,5,1,1,1,2,1,7.644,50.4,33.511,2.909,84,9.24,energy_insolvency,needs_extra_engine_or_thruster_stats
0.75,ProtonLegacy,ProtonLegacy_19,ProtonLegacy10,6,2,1,0,1,1,7.875,486.283,89.68,3.038,182.477,20.072,energy_insolvency,needs_extra_engine_or_thruster_stats
0.75,CosmicShark,CosmicShark_18,CosmicShark_Cruiser,6,2,2,1,3,1,9.525,507.154,90.432,3.301,209.323,23.026,energy_insolvency,needs_extra_engine_or_thruster_stats
0.6,AstroEagle,AstroEagle_19,AstroEagle_Harvester,6,5,1,1,2,1,10.875,216.358,64.046,3.516,507.41,55.815,propulsion_starvation,needs_extra_engine_or_thruster_stats
0.5,HyperFalcon,HyperFalcon_01,HyperFalcon13,1,1,1,2,3,0,9.8,9,12.57,4.4,37.034,4.074,weaponless,structural_prefab
0.5,MeteorMantis,MeteorMantis_10,MeteorMantis17,5,1,1,0,1,0,6.468,12.6,16.408,5.743,188.079,20.689,weaponless,structural_prefab
0.5,MeteorMantis,MeteorMantis_02,MeteorMantis5,3,1,1,0,1,0,7.392,10.8,11.286,3.95,84.209,9.263,weaponless,structural_prefab
0.5,MeteorMantis,MeteorMantis_03,MeteorMantis15,2,1,1,0,1,0,7.623,9.9,10.388,3.636,67.033,7.374,weaponless,structural_prefab
0.5,StarForce,StarForce_20,StarForce5,6,1,1,0,1,0,7.425,13.5,7.476,2.617,76.834,8.452,weaponless,structural_prefab
0.5,HyperFalcon,HyperFalcon_16,HyperFalcon4,6,2,1,2,3,0,9.45,13.5,11.88,4.158,304.5,33.495,weaponless,structural_prefab
0.5,HyperFalcon,HyperFalcon_19,HyperFalcon1,6,2,1,2,3,0,8.925,13.5,14.85,5.198,344.821,37.93,weaponless,structural_prefab
0.5,StriderOx,StriderOx_01,StriderOx16,1,1,1,1,2,0,9.8,9,9.9,3.465,40,4.4,weaponless,structural_prefab
0.5,StriderOx,StriderOx_03,StriderOx15,3,1,1,1,2,0,8.064,10.8,10.8,3.78,72,7.92,weaponless,structural_prefab
0.5,HyperFalcon,HyperFalcon_11,HyperFalcon12,6,2,1,1,2,0,6.3,13.5,9.602,3.361,254.556,28.001,weaponless,structural_prefab
0.5,HyperFalcon,HyperFalcon_18,HyperFalcon3,6,2,1,2,3,0,8.925,13.5,14.85,5.198,241.806,26.599,weaponless,structural_prefab
0.5,MeteorMantis,MeteorMantis_06,MeteorMantis10,2,1,1,0,1,0,9.009,9.9,12.054,4.219,80.138,8.815,weaponless,structural_prefab
0.5,HyperFalcon,HyperFalcon_17,HyperFalcon10,6,2,1,2,3,0,9.45,13.5,8.168,2.859,373.381,41.072,weaponless,structural_prefab
0.5,HyperFalcon,HyperFalcon_14,HyperFalcon5,5,2,0,2,2,0,9.996,12.6,25.2,4.2,187.6,20.636,weaponless,structural_prefab
0.5,HyperFalcon,HyperFalcon_13,HyperFalcon6,5,2,1,2,3,0,8.82,12.6,13.86,4.851,175,19.25,weaponless,structural_prefab
0.5,ForceBadger,ForceBadger_01,ForceBadger4,2,1,1,1,2,0,9.009,9.9,10.89,3.812,36.791,4.047,weaponless,structural_prefab
0.5,HyperFalcon,HyperFalcon_12,HyperFalcon11,5,2,1,2,3,0,8.232,12.6,13.86,4.851,196,21.56,weaponless,structural_prefab
0.5,HyperFalcon,HyperFalcon_20,HyperFalcon8,5,2,1,2,3,0,9.408,12.6,7.623,2.668,225.4,24.794,weaponless,structural_prefab
0.5,HyperFalcon,HyperFalcon_04,HyperFalcon20,4,2,0,2,2,0,7.644,11.7,23.4,3.9,156,17.16,weaponless,structural_prefab
0.5,HyperFalcon,HyperFalcon_06,HyperFalcon16,4,2,0,1,1,0,7.007,11.7,23.4,3.9,163.804,18.018,weaponless,structural_prefab
0.5,HyperFalcon,HyperFalcon_07,HyperFalcon19,4,2,1,1,2,0,7.007,11.7,11.7,4.095,179.98,19.798,weaponless,structural_prefab
0.5,HyperFalcon,HyperFalcon_09,HyperFalcon18,3,1,1,2,3,0,10.08,10.8,19.271,6.745,114.884,12.637,weaponless,structural_prefab
0.5,HyperFalcon,HyperFalcon_08,HyperFalcon9,3,2,1,2,3,0,10.752,10.8,13.662,4.782,125.055,13.756,weaponless,structural_prefab
0.5,HyperFalcon,HyperFalcon_02,HyperFalcon14,3,2,1,0,1,0,6.72,10.8,10.626,3.719,141.606,15.577,weaponless,structural_prefab
0.5,HyperFalcon,HyperFalcon_03,HyperFalcon17,2,2,1,1,2,0,8.316,9.9,9.9,3.465,78.621,8.648,weaponless,structural_prefab
0.5,ProtonLegacy,ProtonLegacy_01,ProtonLegacy9,3,0,1,0,1,0,7.392,10.8,11.88,4.158,24,2.64,weaponless,structural_prefab
0.5,HyperFalcon,HyperFalcon_10,HyperFalcon7,2,1,1,2,3,0,11.088,9.9,10.89,3.812,83.6,9.196,weaponless,structural_prefab
0.5,HyperFalcon,HyperFalcon_05,HyperFalcon15,5,2,1,2,3,0,7.644,12.6,16.501,5.775,168.277,18.51,weaponless,structural_prefab
0.5,HyperFalcon,HyperFalcon_15,HyperFalcon2,4,2,1,2,3,0,10.829,11.7,9.653,3.378,153.83,16.921,weaponless,structural_prefab
